Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole,Note
"OA","S?ries temporelles annuelles","79","Allemagne","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","18671.111","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","79","Allemagne","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","63622.346","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","6","Andorre","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","78.011","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","6","Andorre","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","9.093","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","6","Andorre","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","68.921","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","6","Andorre","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","77.006","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","6","Andorre","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","9.187","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","6","Andorre","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","67.766","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","7","Angola","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","27884.381","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","7","Angola","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","10183.56","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","7","Angola","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","17675.745","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","7","Angola","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","30809.787","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","7","Angola","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","10612.667","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","7","Angola","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","20161.538","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","258","Anguilla","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","14.279","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","258","Anguilla","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","0","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","258","Anguilla","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","14.611","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","258","Anguilla","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","14.731","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","258","Anguilla","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","0","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","258","Anguilla","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","15.045","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","8","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","93.566","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","8","Antigua-et-Barbuda","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","74.942","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","8","Antigua-et-Barbuda","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","24.981","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","8","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","96.286","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","8","Antigua-et-Barbuda","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","77.7","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","8","Antigua-et-Barbuda","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","25.35","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","151","Antilles n?erlandaises (ex)","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","269.936","A","Agr?gat, peut inclure des donn?es officielles, semi-officielles, estim?es ou calcul?es",""
"OA","S?ries temporelles annuelles","151","Antilles n?erlandaises (ex)","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","23.027","A","Agr?gat, peut inclure des donn?es officielles, semi-officielles, estim?es ou calcul?es",""
"OA","S?ries temporelles annuelles","151","Antilles n?erlandaises (ex)","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","198.303","A","Agr?gat, peut inclure des donn?es officielles, semi-officielles, estim?es ou calcul?es",""
"OA","S?ries temporelles annuelles","151","Antilles n?erlandaises (ex)","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","277.483","A","Agr?gat, peut inclure des donn?es officielles, semi-officielles, estim?es ou calcul?es",""
"OA","S?ries temporelles annuelles","151","Antilles n?erlandaises (ex)","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","23.992","A","Agr?gat, peut inclure des donn?es officielles, semi-officielles, estim?es ou calcul?es",""
"OA","S?ries temporelles annuelles","151","Antilles n?erlandaises (ex)","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","203.839","A","Agr?gat, peut inclure des donn?es officielles, semi-officielles, estim?es ou calcul?es",""
"OA","S?ries temporelles annuelles","194","Arabie saoudite","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","31717.667","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","194","Arabie saoudite","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","5307.901","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","194","Arabie saoudite","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","26249.243","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","194","Arabie saoudite","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","33702.756","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","194","Arabie saoudite","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","5421.205","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","194","Arabie saoudite","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","28133.138","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","9","Argentine","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","43075.416","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","9","Argentine","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","3689.407","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","9","Argentine","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","39728.358","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","9","Argentine","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","44361.15","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","9","Argentine","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","3632.997","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","9","Argentine","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","41055.867","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","1","Arm?nie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","2925.553","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","1","Arm?nie","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","1076.799","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","1","Arm?nie","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","1840.151","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","1","Arm?nie","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","2951.745","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","1","Arm?nie","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","1081.275","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","1","Arm?nie","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","1852.877","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","22","Aruba","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","104.341","X","Sources internationales s?res","UNDESA, Population Division ? World Population Prospects, the 2017 Revision"
"OA","S?ries temporelles annuelles","22","Aruba","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","59.362","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","22","Aruba","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","44.979","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","22","Aruba","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","105.845","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","22","Aruba","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","59.798","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","22","Aruba","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","45.872","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","10","Australie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","23932.502","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","10","Australie","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","3403.025","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","10","Australie","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","20396.531","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","10","Australie","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","24898.152","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","10","Australie","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","3465.207","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","10","Australie","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","21307.04","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","8678.66","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","11","Autriche","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","3669.727","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","11","Autriche","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","5008.93","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","8891.388","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","11","Autriche","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","3649.748","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","11","Autriche","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","5102.072","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","52","Azerba?djan","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","9622.745","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","52","Azerba?djan","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","4355.344","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","52","Azerba?djan","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","5262.14","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","52","Azerba?djan","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","9949.537","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","52","Azerba?djan","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","4398.268","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","52","Azerba?djan","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","5525.646","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","374.206","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","12","Bahamas","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","66.744","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","12","Bahamas","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","320.094","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","385.637","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","12","Bahamas","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","67.779","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","12","Bahamas","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","331.506","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","13","Bahre?n","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","1371.851","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","13","Bahre?n","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","150.912","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","13","Bahre?n","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","1220.943","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","13","Bahre?n","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","1569.446","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","13","Bahre?n","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","167.867","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","13","Bahre?n","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","1399.126","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","156256.276","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","16","Bangladesh","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","105895.754","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","16","Bangladesh","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","55305.132","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","161376.708","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","16","Bangladesh","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","105423.904","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","16","Bangladesh","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","60944.245","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","14","Barbade","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","285.324","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","14","Barbade","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","195.402","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","14","Barbade","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","88.815","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","14","Barbade","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","286.641","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","14","Barbade","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","197.187","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","14","Barbade","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","89.201","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","57","B?larus","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","9439.423","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","57","B?larus","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","2164.605","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","57","B?larus","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","7321.167","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","57","B?larus","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","9452.617","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","57","B?larus","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","2023.242","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","57","B?larus","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","7428.871","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","255","Belgique","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","11287.94","X","Sources internationales s?res","UNDESA, Population Division ? World Population Prospects, the 2017 Revision"
"OA","S?ries temporelles annuelles","255","Belgique","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","239.703","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","255","Belgique","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","11048.237","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","255","Belgique","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","11482.178","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","255","Belgique","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","229.844","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","255","Belgique","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","11268.675","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","23","Belize","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","360.933","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","23","Belize","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","196.149","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","23","Belize","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","163.139","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","23","Belize","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","383.071","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","23","Belize","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","207.573","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","23","Belize","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","174.871","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","53","B?nin","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","10575.952","X","Sources internationales s?res","UNDESA, Population Division ? World Population Prospects, the 2017 Revision"
"OA","S?ries temporelles annuelles","53","B?nin","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","5743.319","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","53","B?nin","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","4832.633","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","53","B?nin","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","11485.044","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","53","B?nin","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","6051.546","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","53","B?nin","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","5434.128","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","17","Bermudes","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","63.692","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","17","Bermudes","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","0","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","17","Bermudes","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","62.003","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","17","Bermudes","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","62.756","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","17","Bermudes","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","0","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","17","Bermudes","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","61.07","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
