Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","6","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","78.011","X","International reliable sources",""
"OA","Annual population","6","Andorra","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","9.093","X","International reliable sources",""
"OA","Annual population","6","Andorra","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","68.921","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","6","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","77.006","X","International reliable sources",""
"OA","Annual population","6","Andorra","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","9.187","X","International reliable sources",""
"OA","Annual population","6","Andorra","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","67.766","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","7","Angola","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","27884.381","X","International reliable sources",""
"OA","Annual population","7","Angola","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","10183.56","X","International reliable sources",""
"OA","Annual population","7","Angola","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","17675.745","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","7","Angola","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","30809.787","X","International reliable sources",""
"OA","Annual population","7","Angola","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","10612.667","X","International reliable sources",""
"OA","Annual population","7","Angola","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","20161.538","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","258","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","14.279","X","International reliable sources",""
"OA","Annual population","258","Anguilla","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","0","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","258","Anguilla","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","14.611","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","258","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","14.731","X","International reliable sources",""
"OA","Annual population","258","Anguilla","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","0","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","258","Anguilla","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","15.045","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","8","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","93.566","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","74.942","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","24.981","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","8","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","96.286","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","77.7","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","25.35","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","9","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","43075.416","X","International reliable sources",""
"OA","Annual population","9","Argentina","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","3689.407","X","International reliable sources",""
"OA","Annual population","9","Argentina","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","39728.358","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","9","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","44361.15","X","International reliable sources",""
"OA","Annual population","9","Argentina","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","3632.997","X","International reliable sources",""
"OA","Annual population","9","Argentina","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","41055.867","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","1","Armenia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","2925.553","X","International reliable sources",""
"OA","Annual population","1","Armenia","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","1076.799","X","International reliable sources",""
"OA","Annual population","1","Armenia","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","1840.151","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","1","Armenia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2951.745","X","International reliable sources",""
"OA","Annual population","1","Armenia","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1081.275","X","International reliable sources",""
"OA","Annual population","1","Armenia","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1852.877","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","22","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","104.341","X","International reliable sources","UNDESA, Population Division ? World Population Prospects, the 2017 Revision"
"OA","Annual population","22","Aruba","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","59.362","X","International reliable sources",""
"OA","Annual population","22","Aruba","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","44.979","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","22","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","105.845","X","International reliable sources",""
"OA","Annual population","22","Aruba","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","59.798","X","International reliable sources",""
"OA","Annual population","22","Aruba","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","45.872","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","23932.502","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","3403.025","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","20396.531","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","24898.152","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","3465.207","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","21307.04","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","8678.66","X","International reliable sources",""
"OA","Annual population","11","Austria","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","3669.727","X","International reliable sources",""
"OA","Annual population","11","Austria","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","5008.93","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","8891.388","X","International reliable sources",""
"OA","Annual population","11","Austria","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","3649.748","X","International reliable sources",""
"OA","Annual population","11","Austria","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","5102.072","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","52","Azerbaijan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","9622.745","X","International reliable sources",""
"OA","Annual population","52","Azerbaijan","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","4355.344","X","International reliable sources",""
"OA","Annual population","52","Azerbaijan","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","5262.14","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","52","Azerbaijan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","9949.537","X","International reliable sources",""
"OA","Annual population","52","Azerbaijan","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","4398.268","X","International reliable sources",""
"OA","Annual population","52","Azerbaijan","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","5525.646","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","12","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","374.206","X","International reliable sources",""
"OA","Annual population","12","Bahamas","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","66.744","X","International reliable sources",""
"OA","Annual population","12","Bahamas","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","320.094","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","12","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","385.637","X","International reliable sources",""
"OA","Annual population","12","Bahamas","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","67.779","X","International reliable sources",""
"OA","Annual population","12","Bahamas","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","331.506","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","13","Bahrain","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","1371.851","X","International reliable sources",""
"OA","Annual population","13","Bahrain","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","150.912","X","International reliable sources",""
"OA","Annual population","13","Bahrain","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","1220.943","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","13","Bahrain","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1569.446","X","International reliable sources",""
"OA","Annual population","13","Bahrain","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","167.867","X","International reliable sources",""
"OA","Annual population","13","Bahrain","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1399.126","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","156256.276","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","105895.754","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","55305.132","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","161376.708","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","105423.904","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","60944.245","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","14","Barbados","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","285.324","X","International reliable sources",""
"OA","Annual population","14","Barbados","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","195.402","X","International reliable sources",""
"OA","Annual population","14","Barbados","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","88.815","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","14","Barbados","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","286.641","X","International reliable sources",""
"OA","Annual population","14","Barbados","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","197.187","X","International reliable sources",""
"OA","Annual population","14","Barbados","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","89.201","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","57","Belarus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","9439.423","X","International reliable sources",""
"OA","Annual population","57","Belarus","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","2164.605","X","International reliable sources",""
"OA","Annual population","57","Belarus","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","7321.167","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","57","Belarus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","9452.617","X","International reliable sources",""
"OA","Annual population","57","Belarus","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","2023.242","X","International reliable sources",""
"OA","Annual population","57","Belarus","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","7428.871","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","255","Belgium","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","11287.94","X","International reliable sources","UNDESA, Population Division ? World Population Prospects, the 2017 Revision"
"OA","Annual population","255","Belgium","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","239.703","X","International reliable sources",""
"OA","Annual population","255","Belgium","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","11048.237","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","255","Belgium","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11482.178","X","International reliable sources",""
"OA","Annual population","255","Belgium","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","229.844","X","International reliable sources",""
"OA","Annual population","255","Belgium","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","11268.675","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","23","Belize","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","360.933","X","International reliable sources",""
"OA","Annual population","23","Belize","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","196.149","X","International reliable sources",""
"OA","Annual population","23","Belize","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","163.139","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","23","Belize","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","383.071","X","International reliable sources",""
"OA","Annual population","23","Belize","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","207.573","X","International reliable sources",""
"OA","Annual population","23","Belize","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","174.871","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","53","Benin","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","10575.952","X","International reliable sources","UNDESA, Population Division ? World Population Prospects, the 2017 Revision"
"OA","Annual population","53","Benin","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","5743.319","X","International reliable sources",""
"OA","Annual population","53","Benin","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","4832.633","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","53","Benin","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11485.044","X","International reliable sources",""
"OA","Annual population","53","Benin","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","6051.546","X","International reliable sources",""
"OA","Annual population","53","Benin","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","5434.128","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","17","Bermuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","63.692","X","International reliable sources",""
"OA","Annual population","17","Bermuda","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","0","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","17","Bermuda","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","62.003","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","17","Bermuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","62.756","X","International reliable sources",""
"OA","Annual population","17","Bermuda","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","0","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","17","Bermuda","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","61.07","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","18","Bhutan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","727.876","X","International reliable sources",""
"OA","Annual population","18","Bhutan","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","482.844","X","International reliable sources",""
"OA","Annual population","18","Bhutan","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","304.542","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","18","Bhutan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","754.388","X","International reliable sources",""
"OA","Annual population","18","Bhutan","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","482.916","X","International reliable sources",""
"OA","Annual population","18","Bhutan","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","334.138","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","10869.73","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","3389.712","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","7334.993","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11353.142","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","3429.186","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","7786.488","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","278","Bonaire, Sint Eustatius and Saba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","24.57","X","International reliable sources",""
"OA","Annual population","278","Bonaire, Sint Eustatius and Saba","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","6.202","X","International reliable sources",""
"OA","Annual population","278","Bonaire, Sint Eustatius and Saba","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","18.368","X","International reliable sources",""
"OA","Annual population","278","Bonaire, Sint Eustatius and Saba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","25.711","X","International reliable sources",""
"OA","Annual population","278","Bonaire, Sint Eustatius and Saba","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","6.452","X","International reliable sources",""
"OA","Annual population","278","Bonaire, Sint Eustatius and Saba","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","19.25","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","3429.361","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","1867.937","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","1668.024","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","80","Bosnia and Herzegovina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","3323.925","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1813.259","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1690.295","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","20","Botswana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","2120.716","X","International reliable sources",""
"OA","Annual population","20","Botswana","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","725.61","X","International reliable sources",""
"OA","Annual population","20","Botswana","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","1483.587","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","20","Botswana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2254.068","X","International reliable sources",""
"OA","Annual population","20","Botswana","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","712.875","X","International reliable sources",""
"OA","Annual population","20","Botswana","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1620.326","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","204471.769","X","International reliable sources",""
"OA","Annual population","21","Brazil","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","29308.408","X","International reliable sources",""
"OA","Annual population","21","Brazil","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","176653.7","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","209469.323","X","International reliable sources",""
